time_seconds,vehicle_id,x,y,z,step_index,distance_along_path_m,distance_from_tx_m,path_gain_dB,path_gain_linear,rss_dBm,rss_watt,sinr_dB,sinr_linear,valid_paths_count,los_available,los_present,strongest_path_gain_dB,strongest_path_delay_ns,rms_delay_spread_ns,interaction_los_count,interaction_reflection_count,interaction_diffraction_count,interaction_refraction_count,interaction_diffuse_count,warnings
1.0,car_1,27.16945945945946,-8.382413127413127,1.5,0,0.0,25.71157961026996,-64.5776138305664,3.4852875662080696e-07,-41.577613830566406,6.954062937684562e-08,55.422386169433594,348528.75662080693,1,True,True,-64.5776138305664,85.76459720188723,,1,,,,,path_delays_ns unavailable from current exported Sionna summary; path_coefficients unavailable from current exported Sionna summary; interaction type counts unavailable from current exported Sionna summary; power delay profile unavailable from current exported Sionna summary; channel frequency response unavailable from current exported Sionna summary
2.0,car_1,13.824343906677,-11.206532391493472,1.5,1,13.640665626532526,37.16370603824866,-67.96578216552734,1.59742980561322e-07,-44.965782165527344,3.187291491948119e-08,52.034217834472656,159742.980561322,1,True,True,-67.96578216552734,123.96478155096702,,1,,,,,path_delays_ns unavailable from current exported Sionna summary; path_coefficients unavailable from current exported Sionna summary; interaction type counts unavailable from current exported Sionna summary; power delay profile unavailable from current exported Sionna summary; channel frequency response unavailable from current exported Sionna summary
3.0,car_1,1.3583474290100348,-13.844610770005275,1.5,2,26.382742604497174,48.88694693181125,-72.26759338378906,5.932539815619715e-08,-49.26759338378906,1.1836973126158462e-08,47.73240661621094,59325.39815619715,1,True,True,-72.26759338378906,163.06930206155812,,1,,,,,path_delays_ns unavailable from current exported Sionna summary; path_coefficients unavailable from current exported Sionna summary; interaction type counts unavailable from current exported Sionna summary; power delay profile unavailable from current exported Sionna summary; channel frequency response unavailable from current exported Sionna summary
4.0,car_1,-12.095924613832473,-16.69182994244975,1.5,3,40.13498217551792,61.99239485900287,-78.6021728515625,1.3796938068518672e-08,-55.6021728515625,2.7528510590074815e-09,41.3978271484375,13796.938068518672,1,True,True,-78.6021728515625,206.78437806509464,,1,,,,,path_delays_ns unavailable from current exported Sionna summary; path_coefficients unavailable from current exported Sionna summary; interaction type counts unavailable from current exported Sionna summary; power delay profile unavailable from current exported Sionna summary; channel frequency response unavailable from current exported Sionna summary
5.0,car_1,-24.972236263553768,-19.416740014337297,1.5,4,53.296461446505,74.75280818181545,-76.73233795166016,2.1221017564843402e-08,-53.732337951660156,4.234149663242468e-09,43.267662048339844,21221.0175648434,1,True,True,-76.73233795166016,249.34851694524696,,1,,,,,path_delays_ns unavailable from current exported Sionna summary; path_coefficients unavailable from current exported Sionna summary; interaction type counts unavailable from current exported Sionna summary; power delay profile unavailable from current exported Sionna summary; channel frequency response unavailable from current exported Sionna summary
6.0,car_1,-38.280166659976004,-22.232990083430202,1.5,5,66.89911838872348,88.06509942019024,-79.27499389648438,1.181681973263403e-08,-56.274993896484375,2.3577655095305252e-09,40.725006103515625,11816.81973263403,1,True,True,-79.27499389648438,293.7535157343518,,1,,,,,path_delays_ns unavailable from current exported Sionna summary; path_coefficients unavailable from current exported Sionna summary; interaction type counts unavailable from current exported Sionna summary; power delay profile unavailable from current exported Sionna summary; channel frequency response unavailable from current exported Sionna summary
7.0,car_1,-51.38885071275732,-25.007075254426248,1.5,6,80.29811634124154,101.25356613549879,-300.0,1e-30,-277.0,1.9952623149688827e-31,-180.0,1e-18,1,True,True,-300.0,337.7455470854329,,1,,,,,path_delays_ns unavailable from current exported Sionna summary; path_coefficients unavailable from current exported Sionna summary; interaction type counts unavailable from current exported Sionna summary; power delay profile unavailable from current exported Sionna summary; channel frequency response unavailable from current exported Sionna summary
8.0,car_1,-61.60227413828322,-27.168459750060922,1.5,7,90.73773324068048,111.5639305185268,-95.0784683227539,3.105654702644002e-10,-72.0784683227539,6.196595791491469e-11,24.921531677246094,310.5654702644002,1,True,True,-95.0784683227539,372.13720815998386,,1,,,,,path_delays_ns unavailable from current exported Sionna summary; path_coefficients unavailable from current exported Sionna summary; interaction type counts unavailable from current exported Sionna summary; power delay profile unavailable from current exported Sionna summary; channel frequency response unavailable from current exported Sionna summary
9.0,car_1,-68.87242002471979,-28.706982138222568,1.5,8,98.16888875977341,118.91682313367073,-300.0,1e-30,-277.0,1.9952623149688827e-31,-180.0,1e-18,1,True,True,-300.0,396.6638075780793,,1,,,,,path_delays_ns unavailable from current exported Sionna summary; path_coefficients unavailable from current exported Sionna summary; interaction type counts unavailable from current exported Sionna summary; power delay profile unavailable from current exported Sionna summary; channel frequency response unavailable from current exported Sionna summary
10.0,car_1,-71.468025494141,-27.9741549603509,1.5,9,100.86596188179229,,,,,,,,,False,False,,,,,,,,,No Sionna summary row was produced for this sampled RX position; path_gain_dB unavailable; rss_dBm unavailable; sinr_dB unavailable; distance_from_tx_m unavailable; path_delays_ns unavailable from current exported Sionna summary; path_coefficients unavailable from current exported Sionna summary; interaction type counts unavailable from current exported Sionna summary; power delay profile unavailable from current exported Sionna summary; channel frequency response unavailable from current exported Sionna summary
11.0,car_1,-72.58350775013257,-25.193618440144533,1.5,10,103.8619064746767,122.31081225106792,-300.0,1e-30,-277.0,1.9952623149688827e-31,-180.0,1e-18,1,True,True,-300.0,407.9849418303638,,1,,,,,path_delays_ns unavailable from current exported Sionna summary; path_coefficients unavailable from current exported Sionna summary; interaction type counts unavailable from current exported Sionna summary; power delay profile unavailable from current exported Sionna summary; channel frequency response unavailable from current exported Sionna summary
12.0,car_1,-74.43685452584145,-20.52121291985204,1.5,11,108.8884627130063,123.93266765983209,-87.82352447509766,1.6506217083622192e-09,-64.82352447509766,3.2934232909646934e-10,32.176475524902344,1650.6217083622191,1,True,True,-87.82352447509766,413.39484369018464,,1,,,,,path_delays_ns unavailable from current exported Sionna summary; path_coefficients unavailable from current exported Sionna summary; interaction type counts unavailable from current exported Sionna summary; power delay profile unavailable from current exported Sionna summary; channel frequency response unavailable from current exported Sionna summary
13.0,car_1,-77.01082584409454,-14.03206693049442,1.5,12,115.86946149673243,126.48235804053768,-86.986328125,2.0015534287632196e-09,-63.986328125,3.99362412780799e-10,33.013671875,2001.5534287632177,1,True,True,-86.986328125,421.8997275984293,,1,,,,,path_delays_ns unavailable from current exported Sionna summary; path_coefficients unavailable from current exported Sionna summary; interaction type counts unavailable from current exported Sionna summary; power delay profile unavailable from current exported Sionna summary; channel frequency response unavailable from current exported Sionna summary
14.0,car_1,-80.52830082060213,-5.164287995039452,1.5,13,125.40938463365842,130.49105271432808,-300.0,1e-30,-277.0,1.9952623149688827e-31,-180.0,1e-18,1,True,True,-300.0,435.27126081244205,,1,,,,,path_delays_ns unavailable from current exported Sionna summary; path_coefficients unavailable from current exported Sionna summary; interaction type counts unavailable from current exported Sionna summary; power delay profile unavailable from current exported Sionna summary; channel frequency response unavailable from current exported Sionna summary
15.0,car_1,-84.68265210093976,5.309096754050032,1.5,14,136.6766124498918,135.93747553455788,-300.0,1e-30,-277.0,1.9952623149688827e-31,-180.0,1e-18,1,True,True,-300.0,453.4385880106129,,1,,,,,path_delays_ns unavailable from current exported Sionna summary; path_coefficients unavailable from current exported Sionna summary; interaction type counts unavailable from current exported Sionna summary; power delay profile unavailable from current exported Sionna summary; channel frequency response unavailable from current exported Sionna summary
16.0,car_1,-89.36166161694959,17.105178404092676,1.5,15,149.36679260406547,142.8893371732612,-78.21154022216797,1.5095447003091178e-08,-55.21154022216797,3.011937653287779e-09,41.78845977783203,15095.447003091178,1,True,True,-78.21154022216797,476.62754809607577,,1,,,,,path_delays_ns unavailable from current exported Sionna summary; path_coefficients unavailable from current exported Sionna summary; interaction type counts unavailable from current exported Sionna summary; power delay profile unavailable from current exported Sionna summary; channel frequency response unavailable from current exported Sionna summary
17.0,car_1,-94.14759773352458,29.170828839262278,1.5,16,162.346973840691,150.77542990725263,-300.0,1e-30,-277.0,1.9952623149688827e-31,-180.0,1e-18,1,True,True,-300.0,502.93266440348816,,1,,,,,path_delays_ns unavailable from current exported Sionna summary; path_coefficients unavailable from current exported Sionna summary; interaction type counts unavailable from current exported Sionna summary; power delay profile unavailable from current exported Sionna summary; channel frequency response unavailable from current exported Sionna summary
18.0,car_1,-98.92625950898213,41.218140196155154,1.5,17,175.30742596606606,159.31660372556027,-300.0,1e-30,-277.0,1.9952623149688827e-31,-180.0,1e-18,1,True,True,-300.0,533.116178758064,,1,,,,,path_delays_ns unavailable from current exported Sionna summary; path_coefficients unavailable from current exported Sionna summary; interaction type counts unavailable from current exported Sionna summary; power delay profile unavailable from current exported Sionna summary; channel frequency response unavailable from current exported Sionna summary
19.0,car_1,-103.60494014599719,53.01339272125973,1.5,18,187.99671415075812,168.2272062175915,-300.0,1e-30,-277.0,1.9952623149688827e-31,-180.0,1e-18,1,True,True,-300.0,562.7493351312296,,1,,,,,path_delays_ns unavailable from current exported Sionna summary; path_coefficients unavailable from current exported Sionna summary; interaction type counts unavailable from current exported Sionna summary; power delay profile unavailable from current exported Sionna summary; channel frequency response unavailable from current exported Sionna summary
20.0,car_1,-108.41657671827623,65.14383564571384,1.5,19,201.04659890301292,177.87028562183124,-300.0,1e-30,-277.0,1.9952623149688827e-31,-180.0,1e-18,1,True,True,-300.0,594.8285206613946,,1,,,,,path_delays_ns unavailable from current exported Sionna summary; path_coefficients unavailable from current exported Sionna summary; interaction type counts unavailable from current exported Sionna summary; power delay profile unavailable from current exported Sionna summary; channel frequency response unavailable from current exported Sionna summary
