index,window_start_s,window_end_s,enb_x,enb_y,enb_z,ue_x,ue_y,ue_z,tx_rx_distance_3d_m,app_tx_packets,app_tx_bytes,tap_side_rx_packets,tap_side_rx_bytes,delivery_ratio,first_app_tx_s,last_app_tx_s,first_tap_side_rx_s,last_tap_side_rx_s,mean_tap_side_rx_interarrival_s
0,0.000000000,1.900000000,49.000000000,-17.000000000,12.000000000,27.169459459,-8.382413127,1.500000000,25.711579177,583,298496,415,241530,0.711835334,1.021999999,1.708999999,1.035126840,1.898300180,0.002084960
1,1.900000000,2.800000000,49.000000000,-17.000000000,12.000000000,13.824343907,-11.206532391,1.500000000,37.163706066,29,14848,181,105342,6.241379310,2.771000243,2.799000243,1.901836700,2.786594620,0.004915322
2,2.800000000,3.700000000,49.000000000,-17.000000000,12.000000000,1.358347429,-13.844610770,1.500000000,48.886946529,118,60416,8,4656,0.067796610,2.800000243,3.058000243,2.814976100,3.053127620,0.034021646
3,3.700000000,4.600000000,49.000000000,-17.000000000,12.000000000,-12.095924614,-16.691829942,1.500000000,61.992394479,109,55808,10,5820,0.091743119,4.048000243,4.209000243,4.051976100,4.175181140,0.013689449
4,4.600000000,5.500000000,49.000000000,-17.000000000,12.000000000,-24.972236264,-19.416740014,1.500000000,74.752808443,4,2048,6,3492,1.500000000,5.413000243,5.428000243,5.172976100,5.441818140,0.053768408
5,5.500000000,6.400000000,49.000000000,-17.000000000,12.000000000,-38.280166660,-22.232990083,1.500000000,88.065099088,0,0,0,0,0.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,nan
6,6.400000000,7.300000000,49.000000000,-17.000000000,12.000000000,-51.388850713,-25.007075254,1.500000000,101.253565871,2,1024,4,2328,2.000000000,6.748000243,6.749000243,6.440976100,6.763437140,0.107487013
7,7.300000000,8.200000000,49.000000000,-17.000000000,12.000000000,-61.602274138,-27.168459750,1.500000000,111.563930633,0,0,1,582,0.000000000,-1.000000000,-1.000000000,7.761976100,7.761976100,nan
8,8.200000000,9.100000000,49.000000000,-17.000000000,12.000000000,-68.872420025,-28.706982138,1.500000000,118.916823172,2,1024,3,1746,1.500000000,8.661000243,8.662000243,8.673976100,8.676626140,0.001325020
9,9.100000000,10.000000000,49.000000000,-17.000000000,12.000000000,-71.468025494,-27.974154960,1.500000000,121.421691816,0,0,1,582,0.000000000,-1.000000000,-1.000000000,9.674976100,9.674976100,nan
10,10.000000000,10.900000000,49.000000000,-17.000000000,12.000000000,-72.583507750,-25.193618440,1.500000000,122.310812032,0,0,0,0,0.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,nan
11,10.900000000,11.800000000,49.000000000,-17.000000000,12.000000000,-74.436854526,-20.521212920,1.500000000,123.932667185,2,1024,3,1746,1.500000000,11.103000243,11.104000243,11.115976100,11.118757140,0.001390520
12,11.800000000,12.700000000,49.000000000,-17.000000000,12.000000000,-77.010825844,-14.032066930,1.500000000,126.482357887,0,0,1,582,0.000000000,-1.000000000,-1.000000000,12.116976100,12.116976100,nan
13,12.700000000,13.600000000,49.000000000,-17.000000000,12.000000000,-80.528300821,-5.164287995,1.500000000,130.491052537,0,0,0,0,0.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,nan
14,13.600000000,14.500000000,49.000000000,-17.000000000,12.000000000,-84.682652101,5.309096754,1.500000000,135.937475593,2,1024,3,1746,1.500000000,13.787000243,13.788000243,13.799976100,13.802394140,0.001209020
15,14.500000000,15.400000000,49.000000000,-17.000000000,12.000000000,-89.361661617,17.105178404,1.500000000,142.889336899,0,0,1,582,0.000000000,-1.000000000,-1.000000000,14.800976100,14.800976100,nan
16,15.400000000,16.300000000,49.000000000,-17.000000000,12.000000000,-94.147597734,29.170828839,1.500000000,150.775429605,0,0,0,0,0.000000000,-1.000000000,-1.000000000,-1.000000000,-1.000000000,nan
17,16.300000000,17.200000000,49.000000000,-17.000000000,12.000000000,-98.926259509,41.218140196,1.500000000,159.316603341,2,1024,3,1746,1.500000000,16.686000243,16.688000243,16.698976100,16.701847140,0.001435520
18,17.200000000,18.100000000,49.000000000,-17.000000000,12.000000000,-103.604940146,53.013392721,1.500000000,168.227206234,0,0,1,582,0.000000000,-1.000000000,-1.000000000,17.700976100,17.700976100,nan
19,18.100000000,20.000000000,49.000000000,-17.000000000,12.000000000,-108.416576718,65.143835646,1.500000000,177.870285209,0,0,4,2328,0.000000000,-1.000000000,-1.000000000,19.700976100,19.872414140,0.057146013
