coordinate_index,time_seconds,vehicle_id,x,y,z,speed,angle,lane_id,edge_id
0,1.0,car_1,27.16945945945946,-8.382413127413127,1.5,13.9,258.0512447012017,e0_0,e0
1,2.0,car_1,13.824343906677,-11.206532391493472,1.5,13.640035233506934,258.0512447012017,e0_0,e0
2,3.0,car_1,1.3583474290100348,-13.844610770005275,1.5,12.741488112532535,258.0512447012017,e0_0,e0
3,4.0,car_1,-12.095924613832473,-16.69182994244975,1.5,13.751604021689856,258.05124470120165,e0_0,e0
4,5.0,car_1,-24.972236263553768,-19.416740014337297,1.5,13.160871023195796,258.0512447012017,e0_0,e0
5,6.0,car_1,-38.280166659976004,-22.232990083430202,1.5,13.60202830573544,258.0512447012016,e0_0,e0
6,7.0,car_1,-51.38885071275732,-25.007075254426248,1.5,13.398378727980889,258.0512447012017,e0_0,e0
7,8.0,car_1,-61.60227413828322,-27.168459750060922,1.5,10.43913444045465,258.0512447012017,e0_0,e0
8,9.0,car_1,-68.87242002471979,-28.706982138222568,1.5,7.43081209387164,258.0512447012017,e0_0,e0
9,10.0,car_1,-71.468025494141,-27.9741549603509,1.5,3.030249433228559,276.0642635285268,:n1_0_0,:n1_0
10,11.0,car_1,-72.58350775013257,-25.193618440144533,1.5,2.996888669705763,329.196886543985,e1_0,e1
11,12.0,car_1,-74.43685452584145,-20.52121291985204,1.5,5.0265130531832565,338.3638543039064,e1_0,e1
12,13.0,car_1,-77.01082584409454,-14.03206693049442,1.5,6.980938807185551,338.3638543039064,e1_0,e1
13,14.0,car_1,-80.52830082060213,-5.164287995039452,1.5,9.539841175647265,338.3638543039064,e1_0,e1
14,15.0,car_1,-84.68265210093976,5.309096754050032,1.5,11.267131014992295,338.36385430390624,e1_0,e1
15,16.0,car_1,-89.36166161694959,17.105178404092676,1.5,12.690071127782387,338.3638543039063,e1_0,e1
16,17.0,car_1,-94.14759773352458,29.170828839262278,1.5,12.980069718719461,338.3638543039063,e1_0,e1
17,18.0,car_1,-98.92625950898213,41.218140196155154,1.5,12.960340776969678,338.36385430390635,e1_0,e1
18,19.0,car_1,-103.60494014599719,53.01339272125973,1.5,12.689179165964015,338.3638543039063,e1_0,e1
19,20.0,car_1,-108.41657671827623,65.14383564571384,1.5,13.049772635498085,338.36385430390635,e1_0,e1
